comment_text,source
The regulations apply to both listed and unlisted public companies.,official_portal
Small companies with paid-up capital below 2 crore are partially exempt.,official_portal
The ministry has formed a committee to oversee the implementation process.,official_portal
Training programs for compliance officers will be organized by ICAI.,official_portal
The new portal will be launched simultaneously with the regulation notification.,official_portal
Companies have the option to seek clarification from the ministry directly.,official_portal
The amendments were drafted after reviewing corporate governance frameworks globally.,official_portal
A phased implementation approach has been proposed for complex requirements.,official_portal
The ministry will publish FAQs to help companies understand the new rules.,official_portal
Industry associations have been invited to participate in the review process.,official_portal
The regulations include provisions for annual compliance certification.,official_portal
The ministry has set up a dedicated helpline for compliance queries.,official_portal
Companies must update their articles of association within 12 months.,official_portal
The new framework includes provisions for cross-border transactions.,official_portal
The ministry will conduct quarterly reviews of the implementation progress.,official_portal
All listed companies must comply with the new board diversity requirements.,official_portal
